번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
184,노블케어스,서울특별시 은평구 녹번동 ,,20131108,운영중,,,,,,,170,42,21,,,운영
185,마추미수색실버케어센터,서울특별시 은평구 수색동 ,,20140129,운영중,,,,,,,28,,,,,운영
186,노블타운 요양원,서울특별시 은평구 녹번동 ,,20140407,운영중,,,,,,,99,6,1,,,운영
187,삶과돌봄요양원,서울특별시 은평구 갈현동 삶과돌봄 요양원 ,,20141121,운영중,,,,,,,27,4,1,,,운영
188,은평요양원,서울특별시 은평구 역촌동 ,,20150421,운영중,,,,,,,36,,,,,운영
189,강안너싱홈,서울특별시 은평구 구산동 215-18번지 ,,20050507,운영중,,,,,,,12,,1,192284.031603       ,456650.501786       ,운영
190,정원치매노인요양센터,경기도 파주시 광탄면 분수리 28-16번지 ,,19961106,운영중,,,,,,,168,15,61,189973.912023       ,472402.116965       ,운영
191,정원노인요양원,경기도 파주시 광탄면 분수리 28-15번지 ,,19890418,운영중,,,,,,,112,7,20,189954.513762       ,472488.809331       ,운영
192,노블케어스,서울특별시 은평구 녹번동 154-41번지 ,,20080618,운영중,,,,,,,48,9,9,193297.480916       ,455712.079064       ,운영
193,온누리요양센터,경기도 용인시 처인구 양지면 주북리 1-1번지 ,,20080428,운영중,,,,20150101,,,0,,,224778.557856       ,415948.840136       ,운영
194,구립한남노인요양원,서울특별시 용산구 한남동 820번지 ,,20130402,운영중,,,,,,,81,50,51,200881.190528       ,448149.750451       ,운영
195,구립용산노인전문요양원,서울특별시 용산구 효창동 3-306번지 ,,20101030,운영중,,,,,,,71,3,42,196534.76841        ,449431.890045       ,운영
196,구립한남노인요양원,서울특별시 용산구 한남동 ,,20140829,운영중,,,,,,,81,43,54,,,운영
197,원효원,서울특별시 용산구 신창동 ,,20141126,운영중,,,,,,,20,,12,,,운영
198,메디힐요양원,서울특별시 양천구 신월동 ,,20130318,운영중,,,,,,,43,22,22,,,운영
199,목동 참그린요양원,서울특별시 양천구 신정동 에벤에셀프라자 6층 ,,20140701,운영중,,,,,,,66,11,11,,,운영
200,사랑초요양원,서울특별시 양천구 신월동 ,,20140731,운영중,,,,,,,119,22,25,,,운영
201,실버캐슬요양타운,서울특별시 양천구 신월동 982-5번지 실버캐슬요양타운빌딩 ,,20120510,운영중,,,,,,,49,27,31,185415.201298       ,446012.283672       ,운영
202,애린요양홈,서울특별시 양천구 목동 ,,20120521,운영중,,,,,,,8,1,4,,,운영
203,정다운요양원,서울특별시 양천구 신정동 ,,20120524,운영중,,,,,,,29,1,18,,,운영
204,애린요양원,서울특별시 양천구 목동 ,,20110719,운영중,,,,,,,35,2,18,,,운영
205,신월실버파크1호,서울특별시 양천구 신월동 226-8번지 승욱빌딩 2층 ,,20110906,운영중,,,,,,,9,1,4,185444.060673       ,447512.371737       ,운영
206,이정다운요양원,"서울특별시 양천구 신정동 988-2번지 2층,3층 ",,20110112,운영중,,,,,,,21,1,11,187604.386604       ,447028.751385       ,운영
207,구립양천어르신요양센터,서울특별시 양천구 신정동 ,,20110211,운영중,,,,,,,80,3,51,,,운영
208,신목행복자리어르신요양센터,서울특별시 양천구 신정동 1279-1번지 ,,20100201,운영중,,,,,,,21,2,11,189026.840807       ,446218.057301       ,운영
209,신월실버케어센터,서울특별시 양천구 신월동 116-31번지 백석빌딩 2층 ,,20100301,운영중,,,,,,,49,2,14,185601.177786       ,447564.188636       ,운영
210,사랑마을,서울특별시 양천구 신월동 971-5번지 ,,20100301,운영중,,,,,,,21,2,8,185292.847527       ,446569.776371       ,운영
211,양천어르신종합복지관병설양천어르신요양센터,서울특별시 양천구 신정동 325-3번지 ,,20100301,운영중,,,,,,,17,2,12,187422.69           ,445372.815          ,운영
212,실버캐슬 요양타운,"서울특별시 양천구 신월동 982-5번지 담을빌딩4층전체,5층일부(501.502) ",,20091112,운영중,,,,,,,45,5,5,185415.201298       ,446012.283672       ,운영
213,애린노인전문요양센터,서울특별시 양천구 목동 734-16번지 ,,20091202,운영중,,,,,,,25,11,11,188017.393183       ,448180.611246       ,운영
214,양천 사랑마루,서울특별시 양천구 신월동 231-12번지 ,,20080218,운영중,,,,,,,41,4,9,185434.054757       ,447359.410974       ,운영
215,두엄자리,서울특별시 양천구 목동 318-6번지 ,,19861214,운영중,,,,,,,22,1,4,188067.501128       ,449086.051174       ,운영
216,효도의집,서울특별시 양천구 신정동 998-1번지 ,,20041018,운영중,,,,,,,8,1,3,187734.302493       ,446906.851227       ,운영
217,이암요양원,"서울특별시 성동구 상왕십리동 천리교혜성교회 5층, 6층 ",,20120810,운영중,,,,,,,49,5,5,,,운영
218,금호노인요양원,"서울특별시 성동구 금호동4가 188번지 정은타워 B02호, 201호, 301호 ",,20100301,운영중,,,,,,,46,1,2,202162.815721       ,449473.802515       ,운영
219,동서울요양원,서울특별시 성동구 용답동 235-8번지 영축빌딩 2층 ,,20100318,운영중,,,,,,,11,1,4,205861.778324       ,450912.302559       ,운영
220,시립동부노인전문요양센터,서울특별시 성동구 홍익동 16-1번지 ,,20050816,운영중,,,,,,,250,0,0,202826.458815       ,451696.34801        ,운영
221,옥수노인간호센터실버빌,서울특별시 성동구 옥수동 250-2번지 ,,20080721,운영중,,,,,,,9,2,5,201278.992616       ,449053.881872       ,운영
222,옥수노인간호센타 실버빌,서울특별시 성동구 옥수동 250-2번지 ,,20070814,운영중,,,,,,,0,3,5,201278.992616       ,449053.881872       ,운영
223,시립 동부노인전문요양센터,서울특별시 성동구 홍익동 16-1번지 ,,20050816,운영중,,,,,,,250,30,136,202826.458815       ,451696.34801        ,운영
224,시립동부노인전문요양센터,서울특별시 성동구 홍익동 ,,20050816,운영중,,,,,,,296,85,145,,,운영
225,연희시니어스,서울특별시 서대문구 연희동 ,,20120927,운영중,,,,,,,66,,,,,운영
226,앤디스노인요양시설,서울특별시 서대문구 연희동 125-11번지 ,,20110401,운영중,,,,,,,26,2,8,193721.461389       ,451795.21625        ,운영
227,효담요양원,서울특별시 서대문구 홍은동 437-1번지 ,,20100728,운영중,,,,,,,70,2,35,194596.330125       ,454884.966168       ,운영
228,서울여자간호대학 실버케어스,서울특별시 서대문구 홍제동 287-89번지 ,,20101101,운영중,,,,,,,82,1,46,195292.316948       ,455023.54241        ,운영
229,연희노인요양센터,서울특별시 서대문구 연희동 446-188번지 ,,20110211,운영중,,,,,,,10,2,4,192898.112387       ,451649.405613       ,운영
230,서대문노인복지관 요양센터,서울특별시 서대문구 천연동 117-3번지 ,,20100301,운영중,,,,,,,24,3,2,196318.858271       ,451753.450415       ,운영
231,홍은노인요양시설,서울특별시 서대문구 홍은동 11-102번지 ,,20100301,운영중,,,,,,,21,2,8,195356.653905       ,455349.056992       ,운영
232,애린실버,서울특별시 서대문구 연희동 87-13번지 ,,20100301,운영중,,,,,,,21,1,8,194162.721081       ,451933.926399       ,운영
233,구립서대문노인전문요양센터,서울특별시 서대문구 홍은동 4번지 ,,20090817,운영중,,,,,,,78,39,43,196044.108823       ,455096.804072       ,운영
234,백산노인요양원,서울특별시 서대문구 홍은동 405-8번지 ,,20080116,운영중,,,,,,,28,4,12,193697.278145       ,452831.074682       ,운영
235,연희실버,서울특별시 서대문구 연희동 200-52번지 ,,20080318,운영중,,,,,,,30,6,15,193757.909383       ,452335.253884       ,운영
236,샤론실버,서울특별시 서대문구 연희동 132-6번지 ,,20070611,운영중,,,,,,,31,4,13,194149.264555       ,452457.991849       ,운영
237,연희실버홈,서울특별시 서대문구 연희동 200-20번지 ,,20030818,운영중,,,,,,,33,4,12,193780.034519       ,452194.018492       ,운영
238,중앙소규모요양시설(나 형),서울특별시 서대문구 합동 31-11번지 ,,20070320,운영중,,,,,,,24,7,15,196840.4233         ,450960.611119       ,운영
239,실버케어스(홍제),서울특별시 서대문구 홍제동 287-89번지 ,,20010910,운영중,,,,,,,80,15,42,195292.316948       ,455023.54241        ,운영
240,노인요양시설 실버스토리,서울특별시 서대문구 홍은동 ,,20140501,운영중,,,,,,,117,36,45,193998.104669       ,453150.854122       ,운영
