기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	마포구	성산1동	21,019	10,291	10,728	2,189	960	1,229
2010	마포구	성산2동	41,880	20,382	21,498	4,110	1,647	2,463
2010	마포구	상암동	30,964	15,271	15,693	2,780	1,135	1,645
2010	마포구	도화동	24,017	11,674	12,343	2,864	1,223	1,641
2010	마포구	서강동	27,870	13,413	14,457	2,442	1,036	1,406
2010	마포구	공덕동	36,995	18,271	18,724	4,367	1,835	2,532
2010	마포구	아현동	18,157	8,825	9,332	2,120	879	1,241
2010	양천구	소계	505,223	251,368	253,855	38,965	16,147	22,818
2010	양천구	목1동	33,967	16,579	17,388	1,897	773	1,124
2010	양천구	목2동	32,254	15,995	16,259	2,493	1,015	1,478
2010	양천구	목3동	23,576	11,647	11,929	1,934	798	1,136
2010	양천구	목4동	29,308	14,670	14,638	1,982	772	1,210
2010	양천구	신월1동	25,458	13,053	12,405	2,098	934	1,164
2010	양천구	신월2동	21,121	10,594	10,527	1,878	809	1,069
2010	양천구	신월3동	19,028	9,762	9,266	1,742	717	1,025
2010	양천구	신월4동	19,324	9,666	9,658	1,710	778	932
2010	양천구	신월5동	16,447	8,130	8,317	1,367	589	778
2010	양천구	신월6동	14,549	7,350	7,199	1,289	537	752
2010	양천구	신월7동	26,488	13,270	13,218	2,524	1,045	1,479
2010	양천구	신정1동	25,612	12,618	12,994	1,852	760	1,092
2010	양천구	신정2동	23,165	11,521	11,644	1,668	673	995
2010	양천구	신정3동	49,366	24,500	24,866	3,835	1,558	2,277
2010	양천구	신정6동	27,555	13,492	14,063	1,586	615	971
2010	양천구	신정7동	34,087	16,924	17,163	3,103	1,180	1,923
2010	양천구	목5동	46,647	23,173	23,474	2,764	1,070	1,694
2010	양천구	신정4동	37,271	18,424	18,847	3,243	1,524	1,719
